0.03;28,577;5674;28,576
0.03;32,091;4354;31,609
0.03;33,725;4691;33,484
0.03;32,073;5480;32,023
0.03;28,777;5693;28,777
0.03;29,326;5699;29,326
0.03;33,181;4242;32,631
0.03;28,481;5698;28,481
0.03;33,355;4142;32,727
0.03;33,061;4481;32,686
0.03;30,427;5698;30,427
0.03;32,793;5416;32,765
0.03;26,422;5699;26,422
0.03;29,532;5697;29,531
0.03;31,274;5699;31,274
0.03;31,843;5688;31,842
0.03;31,982;5507;31,958
0.03;29,141;5699;29,141
0.03;31,000;5697;31,000
0.03;29,283;5699;29,283
0.03;30,423;5699;30,423
0.03;30,350;5698;30,349
0.03;34,068;4620;33,895
0.03;29,081;5696;29,081
0.030000000000000016;30,844;5348;30,738
