25,706;29999;25,706
32,020;12919;31,974
33,547;24652;33,540
31,299;18082;31,253
25,013;29999;25,013
27,306;26585;27,304
30,330;22030;30,274
23,235;21359;23,214
30,453;26909;30,450
30,772;26632;30,770
28,481;29999;28,481
32,353;29838;32,352
23,935;29958;23,935
27,629;29999;27,629
31,483;10843;31,405
31,183;29982;31,183
30,508;23904;30,496
27,082;29985;27,082
26,986;23444;26,979
31,312;29995;31,312
27,708;29140;27,707
29,333;29957;29,333
32,016;29456;32,013
26,549;16951;26,451
29,010;25525;28,994
