25,921;19981;25,921
32,264;19908;32,264
33,621;19998;33,621
31,559;19938;31,559
25,038;19999;25,038
27,435;14005;27,004
30,814;19999;30,814
23,514;19924;23,513
30,758;19929;30,757
30,992;19999;30,992
28,843;19999;28,843
32,366;19983;32,366
24,050;19987;24,050
27,733;19999;27,733
31,494;11506;30,255
31,262;19990;31,262
30,651;19999;30,651
27,147;19999;27,147
27,137;19998;27,137
31,353;19831;31,352
27,847;19999;27,847
29,434;19917;29,433
32,130;19950;32,129
26,647;19982;26,647
29,167;19367;29,097
