1;0,16163;1,19788;0,43289;0,44674;0,44042;0,36068
2;0,41708;1,46208;0,72009;0,72030;0,68605;0,57223
3;0,24760;1,47133;0,62499;0,56282;0,47292;0,35406
4;0,31050;1,44809;0,60675;0,64101;0,58572;0,46749
5;0,25443;1,23367;0,46630;0,48824;0,48547;0,42178
6;0,17753;1,27857;0,45292;0,46176;0,40867;0,31198
7;0,27056;1,43618;0,60463;0,54619;0,41020;0,33217
8;0,19579;1,14219;0,40026;0,40222;0,42706;0,34813
9;0,28535;1,45279;0,58244;0,55297;0,41460;0,29119
10;0,28621;1,45130;0,61564;0,60402;0,49833;0,36663
11;0,21795;1,36754;0,54714;0,55641;0,51610;0,41141
12;0,22828;1,45606;0,54398;0,58050;0,46037;0,36452
13;0,15534;1,10217;0,39656;0,42222;0,40728;0,28178
14;0,25314;1,33824;0,51237;0,52431;0,55483;0,42443
15;0,26313;1,42453;0,56800;0,52723;0,48907;0,39427
16;0,21263;1,40698;0,56114;0,52789;0,49077;0,33713
17;0,24840;1,43242;0,50631;0,51031;0,40032;0,29571
18;0,29148;1,31737;0,57772;0,55768;0,55376;0,45627
19;0,26981;1,34955;0,55899;0,52464;0,46557;0,34666
20;0,14206;1,30521;0,33485;0,32491;0,27150;0,21917
21;0,28160;1,34825;0,64936;0,57147;0,45309;0,32472
22;0,33261;1,39574;0,59513;0,61158;0,60533;0,49045
23;0,38706;1,49499;0,72769;0,68047;0,60892;0,49302
24;0,22103;1,30453;0,57399;0,55996;0,55641;0,44997
12;0,25463;1,35907;0,54834;0,53774;0,48595;0,37983
