27,812;12678;27,469
31,981;10171;30,463
32,734;12322;31,683
30,689;13825;30,195
24,662;24872;24,661
28,110;18732;28,021
29,903;15692;29,588
25,802;24906;25,801
31,289;13529;30,590
30,669;14279;30,284
28,999;16161;28,798
32,570;12903;31,675
24,310;24580;24,308
27,175;20841;27,154
31,561;15957;31,194
31,179;12990;30,418
29,572;16631;29,364
26,771;20182;26,747
29,449;16160;29,234
30,913;18179;30,769
28,046;18053;27,929
29,366;14979;29,082
31,264;15248;30,847
26,536;21838;26,523
29,223;16904;28,867
