0.005, 31.474, 9292, 31.453
0.005, 34.315, 5529, 33.277
0.005, 36.205, 5362, 34.236
0.005, 34.276, 5828, 33.220
0.005, 31.799, 8400, 31.740
0.000, 32.280, 9999, 32.280
0.005, 35.809, 5434, 34.017
0.005, 31.475, 9783, 31.471
0.005, 35.598, 5688, 25.516
0.005, 35.380, 5942, 34.359
0.003, 33.028, 7582, 32.708
0.005, 35.129, 6640, 30.134
0.001, 29.705, 9996, 29.704
0.005, 32.165, 7854, 26.952
0.005, 34.088, 8347, 27.369
0.005, 34.235, 7250, 31.742
0.005, 34.730, 7142, 34.052
0.001, 31.781, 7852, 27.958
0.005, 33.496, 7699, 27.982
0.001, 32.732, 8301, 23.050
0.005, 33.105, 8160, 32.939
0.005, 32.709, 7613, 32.442
0.005, 36.234, 6209, 27.422
0.003, 31.992, 8995, 31.931
