0.0075;27,969;4470;26,672
0.005;31,816;3104;27,167
0.0075;33,303;4241;29,884
0.0;31,807;3256;27,973
0.003;28,314;4381;26,994
0.0;29,120;4958;27,377
0.01;32,822;3336;28,741
0.001;28,010;4831;27,035
0.0075;32,895;3469;28,634
0.003;32,680;3292;27,989
0.005;29,984;4313;27,860
0.001;32,389;3898;27,805
0.01;26,155;6373;25,948
0.01;29,117;4661;27,553
0.001;31,327;5083;29,911
0.0075;31,363;4729;28,797
0.01;31,586;4571;29,207
0.01;28,651;4924;27,495
0.0;30,572;3645;27,507
0.003;29,266;5954;28,770
0.003;29,908;4426;27,906
0.005;29,934;4503;27,609
0.003;33,890;3686;29,952
0.005;28,649;5347;27,582
