1;0,22466;0,80081;0,36901;0,44164;0,48053;0,40060
2;0,58802;1,24987;0,89840;0,86199;0,87649;0,89087
3;0,38175;1,12799;0,68869;0,61151;0,58545;0,59657
4;0,39333;1,03396;0,66846;0,65193;0,64557;0,55947
5;0,29584;0,72049;0,44211;0,48548;0,48498;0,42951
6;0,23463;0,95434;0,42025;0,52257;0,51398;0,46983
7;0,37953;0,90275;0,57819;0,57593;0,63541;0,55848
8;0,25024;0,61721;0,38320;0,42623;0,40200;0,33869
9;0,46922;1,04093;0,66836;0,83805;0,82734;0,70762
10;0,41877;0,98311;0,53300;0,65868;0,60070;0,61215
11;0,31606;0,96625;0,55445;0,67219;0,70615;0,62912
12;0,34039;1,09389;0,67997;0,72661;0,74522;0,74945
13;0,20115;0,72920;0,36378;0,46126;0,43537;0,34979
14;0,31671;0,89043;0,49461;0,61436;0,57969;0,49067
15;0,38593;1,04989;0,62284;0,64975;0,76780;0,71589
16;0,30484;1,02433;0,53245;0,48071;0,50820;0,44888
17;0,31414;0,82998;0,40687;0,44298;0,45165;0,47710
18;0,37804;0,91313;0,49926;0,66379;0,65907;0,55317
19;0,36016;0,96400;0,56858;0,71653;0,72746;0,57503
20;0,20428;0,86863;0,36117;0,44518;0,38695;0,42181
21;0,43556;0,94545;0,69801;0,67681;0,72321;0,62835
22;0,45299;1,00273;0,60460;0,71774;0,78253;0,68512
23;0,58641;1,11316;0,72372;0,71682;0,71845;0,70158
24;0,29099;0,80348;0,40979;0,57134;0,53124;0,45266
12;0,35515;0,94275;0,54874;0,60959;0,61564;0,56010
